* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = E:\TaqMan_Std.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP	EXPFAIL	THOLDFAIL
H10	4	-13541	-8763	-5571	-4617
H11	4	-12339	-7897	-5001	-4294
H12	4	-11919	-7641	-4893	-4212
A1	5	-12530	-8200	-5236	-4385
A2	5	-12128	-7805	-4942	-4098
A3	5	-12637	-8172	-5271	-4451
A4	5	-13200	-8523	-5436	-4614
A5	5	-12228	-7965	-5144	-4319
A6	5	-12425	-8068	-5194	-4405
A7	5	-11716	-7524	-4764	-3999
A8	5	-12002	-7676	-4819	-4039
A9	5	-12116	-7841	-4984	-4233
A10	5	-12622	-8145	-5136	-4342
A11	5	-12951	-8336	-5337	-4611
A12	5	-11941	-7669	-4890	-4152
B1	5	67618	31493	20646	30364
B2	5	67230	31558	19967	29369
B3	5	7237	8460	13570	28603
B4	5	7303	8611	13833	29229
B5	5	91037	43720	27783	38844
B6	5	83102	40895	26549	37684
B7	5	10184	11387	16759	33702
B8	5	9757	11276	16920	34270
B9	5	78342	38662	25211	35994
B10	5	71957	35741	23474	33574
B11	5	9086	10349	15319	30832
B12	5	6071	8440	13908	29109
C1	5	74302	35312	22234	31627
C2	5	83475	39927	25409	35952
C3	5	9023	9900	14901	30472
C4	5	12691	13044	18350	36636
C5	5	85461	41286	26482	37186
C6	5	97470	47144	30186	42370
C7	5	10856	11908	17302	34599
C8	5	13981	14551	20337	39848
C9	5	85772	42357	27425	38627
C10	5	77409	38356	24947	35740
C11	5	7106	9161	14459	29872
C12	5	8130	9887	15052	30645
D1	5	80738	38579	24571	34825
D2	5	82818	39023	24699	35083
D3	5	10864	11256	16224	32765
D4	5	13916	13780	18856	36889
D5	5	98249	47438	30339	42192
D6	5	92747	45044	28822	40358
D7	5	12958	13318	18478	36179
D8	5	10117	11625	17204	34580
D9	5	85082	41922	27238	38461
D10	5	79223	39281	25674	36808
D11	5	8848	10524	16030	32704
D12	5	8539	10143	15247	30904
E1	5	76081	36014	23035	32794
E2	5	84985	40229	25376	35643
E3	5	10751	11231	16142	32373
E4	5	13494	13607	18729	36576
E5	5	95995	46183	29465	40814
E6	5	96020	46746	30000	41764
E7	5	13415	13639	18571	35928
E8	5	10571	11783	17300	34875
E9	5	79219	39021	25448	36478
E10	5	83438	41362	27075	38605
E11	5	7964	9770	14942	30535
E12	5	7323	9300	14386	29519
F1	5	77668	36793	23710	33715
F2	5	82155	38414	24368	34644
F3	5	11009	11399	16324	32893
F4	5	12684	12763	17923	35482
F5	5	87874	42329	27198	38053
F6	5	88516	43455	27987	39363
F7	5	13384	13897	19448	38125
F8	5	12433	13278	18801	37151
F9	5	83357	41223	27012	38324
F10	5	82461	41060	26804	37997
F11	5	8967	10484	15962	32633
F12	5	9068	10691	15958	32078
G1	5	85570	40999	26207	36811
G2	5	85758	41052	26024	36645
G3	5	12201	12248	17186	34184
G4	5	12805	12800	17785	35008
G5	5	88805	43337	27987	39210
G6	5	82917	41131	26708	37857
G7	5	11762	12938	18745	37347
G8	5	10459	11832	17470	35080
G9	5	-12963	-8386	-5355	-4532
G10	5	-13544	-8834	-5666	-4831
G11	5	-13187	-8627	-5610	-4882
G12	5	-11517	-7332	-4630	-3928
H1	5	-10650	-6985	-4519	-3875
H2	5	-12080	-7893	-5098	-4354
H3	5	-10651	-6878	-4330	-3606
H4	5	-12949	-8441	-5333	-4488
H5	5	-11879	-7596	-4750	-3891
H6	5	-11739	-7581	-4740	-3878
H7	5	-12659	-8062	-5018	-4193
H8	5	-13081	-8465	-5381	-4530
H9	5	-13685	-8855	-5624	-4690
H10	5	-13612	-8811	-5593	-4654
H11	5	-12392	-7931	-5004	-4310
H12	5	-11996	-7721	-4924	-4254
A1	6	-12536	-8226	-5249	-4398
A2	6	-12149	-7798	-4937	-4103
A3	6	-12724	-8216	-5301	-4483
A4	6	-13266	-8594	-5497	-4653
A5	6	-12285	-7996	-5166	-4356
A6	6	-12476	-8110	-5226	-4434
A7	6	-11773	-7574	-4804	-4034
A8	6	-12030	-7697	-4836	-4038
A9	6	-12149	-7865	-5008	-4235
A10	6	-12672	-8161	-5162	-4366
A11	6	-12965	-8334	-5332	-4607
A12	6	-11950	-7676	-4880	-4136
B1	6	68346	31943	20816	30513
B2	6	68028	31929	20118	29412
B3	6	7288	8483	13501	28413
B4	6	7463	8697	13819	29122
B5	6	91304	43978	27879	38833
B6	6	84071	41418	26702	37659
B7	6	10301	11483	16752	33557
B8	6	10002	11482	16983	34277
B9	6	78750	38846	25198	35792
B10	6	72822	36162	23630	33616
B11	6	9347	10531	15402	30831
B12	6	6318	8632	14006	29198
C1	6	76587	36485	22873	32283
C2	6	84757	40563	25694	36107
C3	6	9441	10244	15153	30808
C4	6	13039	13312	18509	36791
C5	6	87444	42171	26839	37392
C6	6	99045	47910	30476	42524
C7	6	11174	12165	17448	34750
C8	6	14318	14786	20446	39874
C9	6	87286	43113	27788	38925
C10	6	78316	38787	25098	35770
C11	6	7655	9626	14861	30393
C12	6	8383	10089	15156	30726
D1	6	82541	39485	25025	35214
D2	6	83891	39562	24913	35175
D3	6	11548	11759	16627	33248
D4	6	14386	14142	19039	37078
D5	6	98233	47199	29969	41466
D6	6	94187	45750	29142	40493
D7	6	13300	13538	18600	36232
D8	6	10343	11809	17243	34543
D9	6	86724	42771	27656	38837
D10	6	79858	39620	25773	36728
D11	6	9339	10899	16299	33022
D12	6	8900	10458	15459	31080
E1	6	77421	36628	23304	32981
E2	6	85911	40696	25551	35709
E3	6	11141	11535	16320	32585
E4	6	13743	13773	18758	36511
E5	6	96042	46048	29193	40187
E6	6	97721	47537	30304	41919
E7	6	13799	13921	18721	36044
E8	6	10847	12003	17415	34911
E9	6	80534	39736	25791	36752
E10	6	84231	41789	27188	38571
E11	6	8266	10020	15091	30643
E12	6	7694	9587	14592	29763
F1	6	78768	37316	23940	33839
F2	6	83301	39020	24617	34825
F3	6	11278	11570	16417	32913
F4	6	12855	12921	17921	35366
F5	6	87742	42213	26938	37578
F6	6	88784	43551	27875	39022
F7	6	13746	14178	19591	38218
F8	6	12936	13693	19087	37504
F9	6	84291	41701	27190	38356
F10	6	83069	41365	26868	37919
F11	6	9220	10673	16028	32646
F12	6	9606	11127	16296	32508
G1	6	86747	41578	26466	36960
G2	6	87094	41713	26309	36898
G3	6	12372	12388	17218	34114
G4	6	13136	13062	17915	35167
G5	6	90805	44432	28551	39754
G6	6	84159	41732	26947	37986
G7	6	11895	13042	18686	37163
G8	6	10700	12024	17523	35063
G9	6	-13046	-8432	-5384	-4608
G10	6	-13596	-8863	-5698	-4858
G11	6	-13229	-8647	-5634	-4901
G12	6	-11514	-7343	-4632	-3948
H1	6	-10687	-7025	-4514	-3879
H2	6	-12130	-7910	-5100	-4385
H3	6	-10686	-6891	-4348	-3626
H4	6	-13041	-8484	-5369	-4510
H5	6	-11917	-7650	-4785	-3916
H6	6	-11776	-7595	-4772	-3910
H7	6	-12698	-8090	-5061	-4205
H8	6	-13108	-8479	-5358	-4527
H9	6	-13729	-8876	-5634	-4692
H10	6	-13622	-8823	-5612	-4689
H11	6	-12425	-7965	-5024	-4352
H12	6	-12045	-7728	-4923	-4266
A1	7	-12619	-8270	-5276	-4428
A2	7	-12221	-7853	-4958	-4135
A3	7	-12782	-8268	-5331	-4524
A4	7	-13300	-8618	-5511	-4667
A5	7	-12328	-8044	-5193	-4380
A6	7	-12486	-8110	-5235	-4441
A7	7	-11826	-7588	-4812	-4064
A8	7	-12093	-7740	-4863	-4059
A9	7	-12207	-7890	-5031	-4262
A10	7	-12689	-8173	-5177	-4390
A11	7	-13009	-8347	-5372	-4643
A12	7	-12004	-7714	-4916	-4172
B1	7	69093	32232	20894	30406
B2	7	68174	31944	19968	29073
B3	7	7462	8604	13488	28335
B4	7	7840	8970	13966	29289
B5	7	93237	44817	28221	39054
B6	7	85252	41986	26928	37779
B7	7	10469	11600	16763	33452
B8	7	10233	11666	17084	34341
B9	7	79848	39400	25423	35881
B10	7	73629	36579	23761	33617
B11	7	9328	10508	15267	30530
B12	7	6538	8808	14077	29193
C1	7	76944	36653	22844	32105
C2	7	86230	41369	26067	36470
C3	7	9561	10341	15156	30727
C4	7	13205	13439	18526	36675
C5	7	87211	42069	26617	36973
C6	7	100495	48621	30747	42650
C7	7	11731	12589	17743	35150
C8	7	14526	14942	20424	39749
C9	7	88145	43583	27993	39005
C10	7	79314	39313	25294	35819
C11	7	7744	9663	14761	30121
C12	7	8635	10293	15250	30797
D1	7	83556	39985	25208	35290
D2	7	86044	40669	25498	35749
D3	7	11841	12001	16752	33418
D4	7	14662	14358	19144	37137
D5	7	100251	48387	30601	42104
D6	7	95440	46387	29342	40571
D7	7	13618	13806	18736	36347
D8	7	10515	11925	17247	34420
D9	7	87445	43184	27766	38784
D10	7	80613	39978	25861	36690
D11	7	9842	11291	16568	33337
D12	7	8955	10487	15372	30900
E1	7	78696	37281	23599	33219
E2	7	87697	41559	25955	36076
E3	7	11651	11926	16628	32985
E4	7	14122	14051	18911	36652
E5	7	98074	47151	29732	40720
E6	7	98852	48110	30487	41974
E7	7	14041	14083	18779	36058
E8	7	10917	12042	17306	34686
E9	7	80955	39957	25779	36594
E10	7	84385	41834	27062	38213
E11	7	8643	10337	15282	30878
E12	7	7636	9565	14459	29458
F1	7	79896	37858	24135	33961
F2	7	84617	39572	24820	34845
F3	7	11743	11893	16615	33109
F4	7	13160	13130	18031	35420
F5	7	89700	43215	27437	38041
F6	7	90763	44591	28376	39463
F7	7	13968	14366	19673	38292
F8	7	12883	13643	18905	37084
F9	7	85128	42107	27295	38292
F10	7	83614	41606	26890	37747
F11	7	9495	10893	16166	32764
F12	7	9648	11202	16226	32336
G1	7	88084	42235	26772	37199
G2	7	87609	41980	26335	36814
G3	7	12441	12403	17102	33821
G4	7	13386	13248	18007	35191
G5	7	91264	44566	28481	39451
G6	7	85237	42296	27160	38033
G7	7	12248	13331	18843	37283
G8	7	10974	12259	17621	35118
G9	7	-13062	-8444	-5407	-4571
G10	7	-13580	-8877	-5712	-4868
G11	7	-13246	-8664	-5650	-4918
G12	7	-11594	-7400	-4693	-3980
H1	7	-10741	-7047	-4574	-3913
H2	7	-12157	-7911	-5121	-4396
H3	7	-10673	-6910	-4368	-3632
H4	7	-13048	-8501	-5395	-4547
H5	7	-11965	-7672	-4806	-3960
H6	7	-11819	-7624	-4767	-3922
H7	7	-12733	-8103	-5096	-4240
H8	7	-13179	-8523	-5426	-4563
H9	7	-13801	-8907	-5664	-4739
H10	7	-13679	-8873	-5650	-4712
H11	7	-12488	-7986	-5080	-4357
H12	7	-12071	-7762	-4987	-4292
A1	8	-12650	-8274	-5304	-4449
A2	8	-12220	-7882	-4977	-4133
A3	8	-12845	-8291	-5349	-4523
A4	8	-13357	-8639	-5516	-4671
A5	8	-12393	-8067	-5219	-4412
A6	8	-12510	-8150	-5248	-4464
A7	8	-11880	-7617	-4830	-4084
A8	8	-12109	-7753	-4889	-4084
A9	8	-12289	-7968	-5068	-4336
A10	8	-12739	-8187	-5206	-4393
A11	8	-13069	-8390	-5383	-4643
A12	8	-12014	-7749	-4942	-4184
B1	8	69607	32457	20908	30319
B2	8	69045	32391	20129	29115
B3	8	7718	8798	13634	28474
B4	8	7993	9100	13988	29203
B5	8	94584	45382	28373	39023
B6	8	86495	42602	27147	37874
B7	8	10733	11811	16864	33595
B8	8	10480	11843	17144	34352
B9	8	80970	39986	25666	36009
B10	8	74574	37100	23947	33732
B11	8	9798	10868	15544	30864
B12	8	6721	8952	14134	29227
C1	8	77772	37051	22978	32132
C2	8	87386	41938	26267	36532
C3	8	9858	10573	15301	30855
C4	8	13497	13660	18628	36772
C5	8	88781	42985	27094	37445
C6	8	102021	49369	31049	42785
C7	8	11764	12603	17698	34995
C8	8	14809	15183	20566	39801
C9	8	88609	43812	27974	38787
C10	8	80063	39697	25392	35776
C11	8	8183	10053	15070	30586
C12	8	8796	10413	15291	30731
D1	8	84704	40538	25445	35453
D2	8	86965	41069	25577	35688
D3	8	11966	12090	16698	33250
D4	8	14942	14581	19246	37178
D5	8	101641	49117	30925	42302
D6	8	96899	47089	29620	40714
D7	8	13782	13887	18725	36216
D8	8	10808	12148	17403	34564
D9	8	88215	43531	27840	38658
D10	8	81503	40440	26016	36692
D11	8	10186	11609	16792	33614
D12	8	9240	10734	15530	31016
E1	8	79522	37670	23741	33210
E2	8	88736	42042	26149	36129
E3	8	11696	11959	16552	32772
E4	8	14241	14163	18938	36577
E5	8	99785	48111	30199	41139
E6	8	100636	48966	30873	42233
E7	8	14193	14183	18762	35916
E8	8	11302	12355	17497	34939
E9	8	81647	40284	25872	36540
E10	8	85574	42438	27315	38366
E11	8	9005	10597	15443	31058
E12	8	8042	9891	14700	29788
F1	8	80814	38338	24289	34032
F2	8	86032	40300	25153	35107
F3	8	11898	12028	16639	33074
F4	8	13381	13321	18100	35429
F5	8	91566	44167	27883	38407
F6	8	91314	44798	28348	39205
F7	8	14226	14558	19759	38329
F8	8	13401	14050	19219	37500
F9	8	85918	42533	27393	38255
F10	8	84655	42164	27112	37868
F11	8	9745	11106	16285	32851
F12	8	9779	11283	16226	32230
G1	8	88976	42669	26912	37201
G2	8	88708	42466	26520	36824
G3	8	12811	12703	17329	34085
G4	8	13631	13466	18097	35260
G5	8	92143	44953	28569	39319
G6	8	86474	42884	27388	38137
G7	8	12497	13519	18917	37261
G8	8	11214	12426	17700	35165
G9	8	-13101	-8475	-5419	-4604
G10	8	-13658	-8916	-5748	-4904
G11	8	-13287	-8677	-5675	-4947
G12	8	-11562	-7369	-4656	-3952
H1	8	-10778	-7080	-4577	-3908
H2	8	-12172	-7957	-5120	-4393
H3	8	-10762	-6956	-4397	-3681
H4	8	-13105	-8534	-5410	-4558
H5	8	-11993	-7681	-4843	-3955
H6	8	-11851	-7655	-4796	-3951
H7	8	-12751	-8132	-5090	-4245
H8	8	-13183	-8530	-5439	-4553
H9	8	-13826	-8923	-5684	-4744
H10	8	-13697	-8870	-5659	-4731
H11	8	-12489	-8017	-5071	-4372
H12	8	-12122	-7806	-4990	-4313
A1	9	-12669	-8284	-5315	-4455
A2	9	-12248	-7884	-4990	-4154
A3	9	-12846	-8322	-5356	-4550
A4	9	-13366	-8666	-5546	-4722
A5	9	-12416	-8094	-5241	-4407
A6	9	-12530	-8161	-5261	-4477
A7	9	-11896	-7660	-4847	-4101
A8	9	-12141	-7777	-4909	-4104
A9	9	-12306	-7965	-5077	-4331
A10	9	-12740	-8204	-5217	-4411
A11	9	-13035	-8376	-5374	-4654
A12	9	-12047	-7737	-4963	-4211
B1	9	70457	32906	21110	30465
B2	9	69918	32812	20235	29107
B3	9	7887	8933	13687	28511
B4	9	8309	9334	14140	29371
B5	9	95671	46028	28672	39250
B6	9	87665	43208	27372	37965
B7	9	10875	11916	16886	33519
B8	9	10640	11985	17201	34367
B9	9	82142	40561	25880	36142
B10	9	75441	37506	24092	33717
B11	9	9717	10804	15340	30418
B12	9	6905	9111	14222	29305
C1	9	79466	37905	23416	32511
C2	9	88714	42621	26557	36705
C3	9	10066	10742	15389	30947
C4	9	13617	13734	18614	36692
C5	9	89899	43425	27166	37304
C6	9	103759	50237	31391	43075
C7	9	12211	12995	18018	35433
C8	9	15106	15412	20669	39893
C9	9	89946	44533	28290	39014
C10	9	81344	40359	25671	35930
C11	9	8840	10562	15512	31159
C12	9	8973	10557	15367	30785
D1	9	86106	41235	25726	35622
D2	9	88392	41781	25909	35913
D3	9	12431	12492	17007	33651
D4	9	15079	14671	19260	37126
D5	9	102278	49321	30862	42027
D6	9	98356	47803	29900	40837
D7	9	14122	14189	18942	36506
D8	9	10966	12287	17440	34567
D9	9	89595	44231	28114	38834
D10	9	83076	41224	26387	36957
D11	9	10615	11923	16987	33840
D12	9	9296	10792	15487	30877
E1	9	80610	38216	23924	33332
E2	9	90157	42760	26447	36369
E3	9	12105	12266	16783	33027
E4	9	14505	14350	19000	36633
E5	9	100707	48524	30304	41026
E6	9	102274	49781	31225	42429
E7	9	14609	14521	19037	36232
E8	9	11588	12577	17644	35074
E9	9	82538	40713	26014	36479
E10	9	87343	43328	27738	38687
E11	9	9238	10800	15559	31131
E12	9	8031	9895	14654	29642
F1	9	81797	38798	24511	34092
F2	9	87297	40883	25337	35224
F3	9	12278	12319	16843	33289
F4	9	13665	13529	18203	35538
F5	9	92726	44747	28118	38528
F6	9	93300	45830	28823	39627
F7	9	14546	14795	19900	38488
F8	9	13631	14249	19317	37572
F9	9	87146	43113	27628	38342
F10	9	86280	43007	27514	38161
F11	9	9966	11266	16393	32912
F12	9	9913	11374	16258	32238
G1	9	90120	43238	27126	37350
G2	9	89882	43044	26746	36960
G3	9	12845	12720	17219	33829
G4	9	13873	13610	18142	35238
G5	9	93432	45615	28815	39471
G6	9	87848	43617	27699	38338
G7	9	12608	13601	18906	37149
G8	9	11542	12673	17877	35353
G9	9	-13128	-8499	-5432	-4610
G10	9	-13614	-8887	-5727	-4876
G11	9	-13302	-8699	-5679	-4954
G12	9	-11659	-7438	-4706	-4005
H1	9	-10777	-7096	-4573	-3948
H2	9	-12193	-7958	-5153	-4403
H3	9	-10715	-6925	-4391	-3648
H4	9	-13094	-8539	-5435	-4560
H5	9	-12010	-7686	-4826	-3957
H6	9	-11864	-7657	-4798	-3941
H7	9	-12766	-8151	-5121	-4267
H8	9	-13216	-8541	-5444	-4571
H9	9	-13865	-8964	-5687	-4767
H10	9	-13754	-8899	-5687	-4733
H11	9	-12534	-8031	-5112	-4404
H12	9	-12153	-7834	-4999	-4313
A1	10	-12698	-8306	-5320	-4472
A2	10	-12233	-7892	-4993	-4147
A3	10	-12864	-8320	-5393	-4566
A4	10	-13383	-8673	-5569	-4721
A5	10	-12400	-8094	-5236	-4414
A6	10	-12567	-8176	-5281	-4481
A7	10	-11929	-7675	-4889	-4108
A8	10	-12185	-7819	-4916	-4127
A9	10	-12361	-8007	-5111	-4336
A10	10	-12763	-8226	-5226	-4428
A11	10	-13134	-8466	-5434	-4688
A12	10	-12080	-7753	-4986	-4232
B1	10	70774	33020	21034	30219
B2	10	70837	33266	20450	29202
B3	10	8164	9144	13862	28691
B4	10	8605	9567	14295	29582
B5	10	98600	47573	29538	40156
B6	10	88818	43780	27602	38031
B7	10	10956	11965	16869	33448
B8	10	10922	12209	17365	34541
B9	10	83918	41455	26337	36516
B10	10	76779	38209	24415	33969
B11	10	9972	11029	15512	30724
B12	10	7078	9252	14263	29345
C1	10	80300	38367	23593	32580
C2	10	90462	43485	26946	37030
C3	10	9995	10652	15214	30634
C4	10	13794	13875	18678	36680
C5	10	89621	43191	26886	36753
C6	10	105454	51079	31758	43278
C7	10	12421	13145	18071	35456
C8	10	15476	15679	20846	40106
C9	10	90702	44918	28409	38964
C10	10	82535	40953	25925	36066
C11	10	8246	10053	14916	30143
C12	10	9200	10754	15466	30881
D1	10	87106	41787	25940	35744
D2	10	89951	42524	26222	36109
D3	10	12357	12393	16878	33347
D4	10	15412	14917	19392	37294
D5	10	104195	50343	31334	42395
D6	10	99947	48641	30252	41089
D7	10	14253	14254	18891	36355
D8	10	11169	12468	17533	34664
D9	10	90576	44698	28234	38776
D10	10	83897	41644	26492	36902
D11	10	10630	11912	16925	33618
D12	10	9515	10948	15588	30984
E1	10	81488	38646	24075	33351
E2	10	91382	43311	26648	36441
E3	10	12195	12382	16786	33010
E4	10	14832	14582	19156	36777
E5	10	102794	49574	30827	41456
E6	10	103846	50572	31524	42586
E7	10	14768	14635	19061	36257
E8	10	11782	12709	17706	35103
E9	10	83600	41284	26206	36579
E10	10	88500	43913	27975	38772
E11	10	9449	10967	15661	31222
E12	10	8234	10077	14751	29726
F1	10	82665	39248	24644	34118
F2	10	88703	41566	25646	35398
F3	10	12506	12477	16941	33382
F4	10	13966	13740	18333	35667
F5	10	93762	45223	28276	38472
F6	10	94853	46605	29130	39837
F7	10	14827	15024	20044	38641
F8	10	13811	14367	19382	37587
F9	10	88302	43712	27826	38417
F10	10	87649	43668	27796	38361
F11	10	10229	11481	16502	33076
F12	10	10089	11526	16340	32280
G1	10	91292	43855	27391	37508
G2	10	91275	43715	27030	37166
G3	10	13085	12891	17310	33893
G4	10	14082	13753	18224	35293
G5	10	94979	46390	29191	39730
G6	10	89324	44345	27980	38503
G7	10	12656	13640	18830	36946
G8	10	11756	12859	17976	35423
G9	10	-13160	-8512	-5456	-4635
G10	10	-13627	-8886	-5733	-4887
G11	10	-13312	-8707	-5704	-4946
G12	10	-11650	-7426	-4708	-4009
H1	10	-10804	-7100	-4596	-3947
H2	10	-12225	-7966	-5155	-4419
H3	10	-10735	-6943	-4415	-3675
H4	10	-13104	-8543	-5419	-4602
H5	10	-12031	-7710	-4853	-3987
H6	10	-11904	-7657	-4819	-3967
H7	10	-12781	-8150	-5116	-4252
H8	10	-13248	-8550	-5455	-4602
H9	10	-13903	-8970	-5717	-4774
H10	10	-13767	-8931	-5705	-4763
H11	10	-12546	-8048	-5115	-4396
H12	10	-12184	-7838	-5023	-4340
A1	11	-12710	-8343	-5370	-4486
A2	11	-12297	-7938	-5037	-4201
A3	11	-12914	-8354	-5406	-4595
A4	11	-13419	-8689	-5578	-4729
A5	11	-12410	-8111	-5240	-4438
A6	11	-12563	-8197	-5290	-4469
A7	11	-11957	-7694	-4896	-4126
A8	11	-12221	-7835	-4941	-4127
A9	11	-12368	-8011	-5124	-4348
A10	11	-12783	-8247	-5231	-4443
A11	11	-13114	-8427	-5410	-4677
A12	11	-12100	-7769	-4986	-4223
B1	11	72608	33961	21564	30758
B2	11	71869	33748	20596	29285
B3	11	8126	9111	13768	28503
B4	11	8744	9667	14352	29639
B5	11	98941	47740	29501	39950
B6	11	90002	44392	27860	38155
B7	11	11013	11983	16837	33321
B8	11	11097	12343	17422	34625
B9	11	84527	41799	26384	36388
B10	11	77536	38587	24514	33933
B11	11	10158	11156	15566	30684
B12	11	7180	9369	14333	29371
C1	11	81158	38738	23674	32506
C2	11	91011	43735	26945	36851
C3	11	10361	10938	15453	30924
C4	11	13880	13963	18645	36615
C5	11	91714	44241	27398	37241
C6	11	107012	51850	32103	43511
C7	11	12661	13392	18293	35793
C8	11	15590	15777	20850	40036
C9	11	92116	45666	28728	39222
C10	11	83383	41407	26049	36042
C11	11	8627	10386	15213	30584
C12	11	9212	10761	15441	30808
D1	11	88041	42208	26042	35678
D2	11	90750	42919	26323	36079
D3	11	12665	12615	16981	33480
D4	11	15466	14971	19383	37204
D5	11	105830	51080	31638	42591
D6	11	100902	49053	30370	41030
D7	11	14382	14347	18910	36308
D8	11	11287	12550	17557	34648
D9	11	91224	45096	28327	38707
D10	11	84411	41913	26530	36790
D11	11	10758	12017	16946	33643
D12	11	9588	11025	15569	30899
E1	11	82227	38997	24174	33333
E2	11	92365	43796	26811	36471
E3	11	12391	12498	16878	33079
E4	11	14974	14686	19180	36819
E5	11	103287	49727	30717	41134
E6	11	104663	50906	31553	42455
E7	11	14840	14725	19057	36232
E8	11	11851	12793	17732	35056
E9	11	84097	41532	26250	36441
E10	11	88937	44133	27962	38578
E11	11	9573	11087	15687	31238
E12	11	8346	10144	14785	29722
F1	11	83534	39655	24766	34112
F2	11	89561	41971	25764	35337
F3	11	12616	12552	16946	33335
F4	11	14123	13841	18358	35650
F5	11	94326	45552	28317	38374
F6	11	95465	46901	29184	39721
F7	11	14884	15081	20039	38581
F8	11	13736	14330	19244	37338
F9	11	88905	43993	27859	38255
F10	11	87895	43825	27739	38112
F11	11	10384	11622	16577	33139
F12	11	10328	11727	16520	32509
G1	11	92358	44373	27598	37623
G2	11	92232	44221	27235	37266
G3	11	13173	12986	17348	33880
G4	11	14103	13736	18144	35078
G5	11	96597	47199	29522	39987
G6	11	90290	44847	28157	38517
G7	11	12927	13875	18964	37099
G8	11	11953	13002	18064	35531
G9	11	-13138	-8511	-5448	-4625
G10	11	-13695	-8924	-5750	-4911
G11	11	-13335	-8728	-5699	-4967
G12	11	-11662	-7445	-4721	-4036
H1	11	-10847	-7106	-4599	-3968
H2	11	-12244	-7998	-5197	-4440
H3	11	-10759	-6980	-4440	-3691
H4	11	-13125	-8558	-5440	-4583
H5	11	-12029	-7726	-4848	-3967
H6	11	-11910	-7685	-4837	-3976
H7	11	-12809	-8174	-5122	-4282
H8	11	-13277	-8585	-5502	-4635
H9	11	-13936	-9011	-5760	-4797
H10	11	-13771	-8949	-5706	-4775
H11	11	-12566	-8063	-5133	-4417
H12	11	-12220	-7878	-5048	-4358
A1	12	-12729	-8343	-5372	-4492
A2	12	-12279	-7917	-5018	-4170
A3	12	-12938	-8385	-5431	-4600
A4	12	-13445	-8707	-5607	-4743
A5	12	-12434	-8105	-5247	-4444
A6	12	-12595	-8221	-5317	-4510
A7	12	-12001	-7710	-4925	-4140
A8	12	-12223	-7844	-4964	-4146
A9	12	-12422	-8042	-5154	-4349
A10	12	-12817	-8253	-5248	-4441
A11	12	-13040	-8399	-5401	-4664
A12	12	-12083	-7786	-4981	-4231
B1	12	72729	33980	21431	30479
B2	12	72321	33995	20623	29212
B3	12	8329	9264	13833	28626
B4	12	8855	9757	14372	29619
B5	12	100646	48674	29980	40384
B6	12	90733	44773	27959	38146
B7	12	10988	11986	16772	33207
B8	12	11255	12447	17467	34634
B9	12	85665	42353	26627	36547
B10	12	78610	39153	24767	34094
B11	12	9793	10850	15136	29948
B12	12	7281	9401	14345	29327
C1	12	81700	38988	23707	32472
C2	12	92703	44601	27385	37250
C3	12	10277	10913	15385	30778
C4	12	14001	14052	18721	36649
C5	12	91853	44194	27223	36847
C6	12	108484	52535	32355	43624
C7	12	12776	13429	18232	35659
C8	12	15758	15902	20905	40084
C9	12	92847	45992	28768	39067
C10	12	84266	41828	26192	36044
C11	12	9171	10817	15551	31065
C12	12	9337	10843	15479	30792
D1	12	88936	42668	26225	35770
D2	12	92475	43781	26726	36407
D3	12	12867	12792	17130	33666
D4	12	15663	15132	19495	37310
D5	12	106003	51177	31543	42247
D6	12	101859	49479	30510	41018
D7	12	14257	14222	18714	35954
D8	12	11478	12709	17657	34740
D9	12	92198	45532	28490	38707
D10	12	85047	42227	26592	36699
D11	12	11419	12565	17453	34358
D12	12	9651	11068	15590	30889
E1	12	82964	39370	24265	33307
E2	12	93841	44525	27141	36737
E3	12	12488	12580	16899	33048
E4	12	15108	14768	19212	36772
E5	12	104555	50437	31045	41399
E6	12	106016	51668	31902	42690
E7	12	14892	14732	19062	36136
E8	12	12059	12948	17818	35139
E9	12	85034	41996	26381	36436
E10	12	89632	44491	28051	38507
E11	12	10043	11459	15998	31658
E12	12	8339	10161	14722	29633
F1	12	84350	40079	24922	34160
F2	12	91063	42675	26072	35571
F3	12	12753	12696	16980	33376
F4	12	14022	13781	18238	35403
F5	12	95889	46330	28678	38668
F6	12	97235	47808	29671	40121
F7	12	15036	15194	20107	38660
F8	12	14311	14788	19686	37940
F9	12	89857	44470	28019	38280
F10	12	89095	44415	27963	38233
F11	12	10664	11827	16734	33341
F12	12	10566	11946	16658	32711
G1	12	93363	44884	27805	37721
G2	12	93270	44725	27398	37327
G3	12	13290	13052	17366	33863
G4	12	14163	13824	18156	35080
G5	12	97468	47606	29642	39954
G6	12	91713	45542	28473	38723
G7	12	13063	13971	19020	37097
G8	12	12215	13244	18227	35771
G9	12	-13157	-8512	-5482	-4651
G10	12	-13704	-8944	-5769	-4945
G11	12	-13359	-8707	-5723	-4957
G12	12	-11677	-7434	-4737	-4019
